teacher step 183, episodes finished 13/200
teacher step 184, episodes finished 14/200
teacher step 185, episodes finished 14/200
teacher step 186, episodes finished 15/200
teacher step 187, episodes finished 15/200
teacher step 188, episodes finished 17/200
teacher step 189, episodes finished 24/200
teacher step 190, episodes finished 27/200
teacher step 191, episodes finished 30/200
teacher step 192, episodes finished 30/200
teacher step 193, episodes finished 34/200
teacher step 194, episodes finished 40/200
teacher step 195, episodes finished 43/200
teacher step 196, episodes finished 45/200
teacher step 197, episodes finished 48/200
teacher step 198, episodes finished 52/200
teacher step 199, episodes finished 68/200
teacher step 200, episodes finished 71/200
teacher step 201, episodes finished 73/200
teacher step 202, episodes finished 77/200
teacher step 203, episodes finished 81/200
teacher step 204, episodes finished 81/200
teacher step 205, episodes finished 85/200
teacher step 206, episodes finished 87/200
teacher step 207, episodes finished 89/200
teacher step 208, episodes finished 114/200
teacher step 209, episodes finished 119/200
teacher step 210, episodes finished 121/200
teacher step 211, episodes finished 124/200
teacher step 212, episodes finished 130/200
teacher step 213, episodes finished 134/200
teacher step 214, episodes finished 137/200
teacher step 215, episodes finished 141/200
teacher step 216, episodes finished 146/200
teacher step 217, episodes finished 159/200
teacher step 218, episodes finished 160/200
teacher step 219, episodes finished 165/200
teacher step 220, episodes finished 168/200
teacher step 221, episodes finished 173/200
teacher step 222, episodes finished 175/200
teacher step 223, episodes finished 178/200
teacher step 224, episodes finished 179/200
teacher step 225, episodes finished 187/200
teacher step 226, episodes finished 190/200
teacher step 227, episodes finished 190/200
teacher step 228, episodes finished 193/200
teacher step 229, episodes finished 195/200
teacher step 230, episodes finished 196/200
teacher step 231, episodes finished 197/200
teacher step 232, episodes finished 197/200
teacher step 233, episodes finished 199/200
teacher step 234, episodes finished 200/200
teacher dataset: 41293 decisions in 2.65 h
/home/connor-finnerty/Documents/projects/nv-sensing-sim/src/nvsim/estimators/policy_net.py:129: UserWarning: Converting a tensor with requires_grad=True to a scalar may lead to unexpected behavior.
Consider using tensor.detach() first. (Triggered internally at /__w/pytorch/pytorch/torch/csrc/autograd/generated/python_variable_methods.cpp:822.)
  acts.append(a.numpy())
wrote /home/connor-finnerty/Documents/projects/nv-sensing-sim/experiments/phase3b/bc_train.results.json (heldout_acc 0.666)
